Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Type
bleach,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,Blanqueador,"1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe","Desde que qued� embarazada, ",,,,,,,,,,,,Human Subject Data
disinfectant,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,"Desinfectantes no blanqueadores, tales como Lysol","1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
glasscleaner,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,Limpiador de Ventanas o Vidrio,"1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
carpetcleaner,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,Limpiador de Alfombras ,"1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
airfresh,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,"Cualquier tipo de aromatizadores incluyendo spray, barra, aerosol, o de tipo de enchufe","1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
aerosol,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,Otros aerosol o spray,"1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
aerosol97,inhome_visit_2nd_part,USO DE PRODUCTOS,text,Especifique aerosol,,,,,,,[aerosol]<'6',,,,,,,Human Subject Data
ihv_paint,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,"Pintura, acabado para madera o barniz","1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
turpentine,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,"Aguarr�s, alcoholes minerales, o diluyente de pintura","1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
paintstrip,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,Otro tipo de removedor de pintura o removedor de esmalte de u�as,"1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
upholsprotect,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,"Protector de tapicer�a, tales como Scotchgard","1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
nailpolish,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,Esmalte de U�as,"1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
deodorant,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,Desodorante,"1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
ihv_hairspray,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,Aerosol o Spray de pelo/Gel de Pelo,"1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
ihv_perfume,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,Colonia/Perfume,"1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
ihv_barsoap,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,Barra de Jab�n (s�lida) ,"1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
liquidsoap,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,Jab�n Liquido (tambi�n detergente para platos) ,"1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
ihv_mouthwash,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,Enjuagador bucal,"1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
ihv_lotion,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,Loci�n,"1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
shvcream,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,Crema de Afeitar,"1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
ihv_cosmetic,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,"Cosm�ticos con colores (Ej: tintes de pelo, base, blush, m�scara y sombra para ojos y delineador de ojos)","1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
ihv_shampoo,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,Champ�,"1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
conditioner,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,Acondicionador,"1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
haircreme,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,Crema de pelo (ej. Vitalis),"1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
otherhairprod,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,"Otros productos para el cabello (Ej: mousse, blanqueador de pelo/tintes, alisados, permanentes)","1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
othertoil,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,Otros art�culos del tocador (en bases de cera o  aceite),"1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
othertoil97,inhome_visit_2nd_part,USO DE PRODUCTOS,text,Especifique articulo del tocador,,,,,,,[othertoil]<'6',,,,,,,Human Subject Data
laundryprod,inhome_visit_2nd_part,USO DE PRODUCTOS,radio,"Productos de lavar ropa (detergente, suavizador, almid�n)","1, Diariamente | 2, Unas veces en semana | 3, Alrededor de una vez en semana | 4, 1-3 veces al mes | 5, Menos de una vez al mes | 6, Nunca| 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
pestiuse,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Cu�ndo fue que utiliz� un pesticida dentro o fuera de su residencia para controlar insectos? ,"1, Este �ltimo mes | 2, 1-3 meses atr�s | 3, 4-6 meses atr�s | 4, M�s de 6 meses atr�s | 5, Nunca | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
pestiusea,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Nombre del pesticida (A),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestibranda,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Marca de Fabrica (A),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiactinga,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Ingrediente activo o numero de registro (A),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiappa,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Como fue aplicado? (A),"1, Aerosol | 2, Bomba | 3, Polvo | 4, Tiras | 5, Espuma | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiwhoappa,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Qui�n aplic� el producto?  (A) ,"1, Usted | 2, Exterminador Profesional | 3, Alguien m�s | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiappafreq,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Cu�n frecuente ha sido aplicado en los pasados seis meses? (A),"1, M�s de una vez al mes | 2, Una vez al mes o menos | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiappe,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,Equipo Protectivo usados cuando se aplica (A),"1, Ninguno | 2, Guantes | 3, M�scara | 97, Otros (Especifique) |  888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiappe97,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Especifique Equipo Protectivo (A),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiuseb,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Nombre del pesticida (B),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestibrandb,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Marca de Fabrica (B),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiactingb,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Ingrediente activo o numero de registro (B),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiappb,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Como fue aplicado? (B),"1, Aerosol | 2, Bomba | 3, Polvo | 4, Tiras | 5, Espuma | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiwhoappb,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Qui�n aplic� el producto?  (B) ,"1, Usted | 2, Exterminador Profesional | 3, Alguien m�s | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestibppefreq,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Cu�n frecuente ha sido aplicado en los pasados seis meses? (B),"1, M�s de una vez al mes | 2, Una vez al mes o menos | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestibppe,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,Equipo Protectivo usados cuando se aplica (B),"1, Ninguno | 2, Guantes | 3, M�scara | 97, Otros (Especifique) |  888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestibppe97,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Especifique Equipo Protectivo (B),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiusec,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Nombre del pesticida (C),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestibrandc,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Marca de Fabrica (C),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiactingc,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Ingrediente activo o numero de registro (C),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiappc,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Como fue aplicado? (C),"1, Aerosol | 2, Bomba | 3, Polvo | 4, Tiras | 5, Espuma | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiwhoappc,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Qui�n aplic� el producto?  (C) ,"1, Usted | 2, Exterminador Profesional | 3, Alguien m�s | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pesticppefreq,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Cu�n frecuente ha sido aplicado en los pasados seis meses? (C),"1, M�s de una vez al mes | 2, Una vez al mes o menos | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pesticppe,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,Equipo Protectivo usados cuando se aplica (C),"1, Ninguno | 2, Guantes | 3, M�scara | 97, Otros (Especifique) |  888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pesticppe97,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Especifique Equipo Protectivo (C),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiused,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Nombre del pesticida (D),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestibrandd,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Marca de Fabrica (D),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiactingd,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Ingrediente activo o numero de registro (D),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiappd,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Como fue aplicado? (D),"1, Aerosol | 2, Bomba | 3, Polvo | 4, Tiras | 5, Espuma | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiwhoappd,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Qui�n aplic� el producto?  (D) ,"1, Usted | 2, Exterminador Profesional | 3, Alguien m�s | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestidppefreq,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Cu�n frecuente ha sido aplicado en los pasados seis meses? (D),"1, M�s de una vez al mes | 2, Una vez al mes o menos | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestidppe,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,Equipo Protectivo usados cuando se aplica (D),"1, Ninguno | 2, Guantes | 3, M�scara | 97, Otros (Especifique) |  888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestidppe97,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Especifique Equipo Protectivo (D),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiusee,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Nombre del pesticida (E),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestibrande,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Marca de Fabrica (E),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiactinge,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Ingrediente activo o numero de registro (E),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
ihv_pestiappe,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Como fue aplicado? (E),"1, Aerosol | 2, Bomba | 3, Polvo | 4, Tiras | 5, Espuma | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiwhoappe,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Qui�n aplic� el producto?  (E) ,"1, Usted | 2, Exterminador Profesional | 3, Alguien m�s | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestieppefreq,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Cu�n frecuente ha sido aplicado en los pasados seis meses? (E),"1, M�s de una vez al mes | 2, Una vez al mes o menos | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestieppe,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,Equipo Protectivo usados cuando se aplica (E),"1, Ninguno | 2, Guantes | 3, M�scara | 97, Otros (Especifique) |  888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestieppe97,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Especifique Equipo Protectivo (E),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiusef,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Nombre del pesticida (F),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestibrandf,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Marca de Fabrica (F),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiactingf,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Ingrediente activo o numero de registro (F),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiappf,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Como fue aplicado? (F),"1, Aerosol | 2, Bomba | 3, Polvo | 4, Tiras | 5, Espuma | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiwhoappf,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Qui�n aplic� el producto?  (F) ,"1, Usted | 2, Exterminador Profesional | 3, Alguien m�s | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestifppefreq,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Cu�n frecuente ha sido aplicado en los pasados seis meses? (F),"1, M�s de una vez al mes | 2, Una vez al mes o menos | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestifppe,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,Equipo Protectivo usados cuando se aplica (F),"1, Ninguno | 2, Guantes | 3, M�scara | 97, Otros (Especifique) |  888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestifppe97,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Especifique Equipo Protectivo (F),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiuseg,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Nombre del pesticida (G),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestibrandg,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Marca de Fabrica (G),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiactingg,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Ingrediente activo o numero de registro (G),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiappg,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Como fue aplicado? (G),"1, Aerosol | 2, Bomba | 3, Polvo | 4, Tiras | 5, Espuma | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiwhoappg,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Qui�n aplic� el producto?  (G) ,"1, Usted | 2, Exterminador Profesional | 3, Alguien m�s | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestigppefreq,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Cu�n frecuente ha sido aplicado en los pasados seis meses? (G),"1, M�s de una vez al mes | 2, Una vez al mes o menos | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestigppe,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,Equipo Protectivo usados cuando se aplica (G),"1, Ninguno | 2, Guantes | 3, M�scara | 97, Otros (Especifique) |  888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestigppe97,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Especifique Equipo Protectivo (G),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiuseh,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Nombre del pesticida (H),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestibrandh,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Marca de Fabrica (H),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiactingh,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Ingrediente activo o numero de registro (H),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiapph,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Como fue aplicado? (H),"1, Aerosol | 2, Bomba | 3, Polvo | 4, Tiras | 5, Espuma | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiwhoapph,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Qui�n aplic� el producto?  (H) ,"1, Usted | 2, Exterminador Profesional | 3, Alguien m�s | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestihppefreq,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Cu�n frecuente ha sido aplicado en los pasados seis meses? (H),"1, M�s de una vez al mes | 2, Una vez al mes o menos | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestihppe,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,Equipo Protectivo usados cuando se aplica (H),"1, Ninguno | 2, Guantes | 3, M�scara | 97, Otros (Especifique) |  888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestihppe97,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Especifique Equipo Protectivo (H),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiusei,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Nombre del pesticida (I),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestibrandi,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Marca de Fabrica (I),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiactingi,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Ingrediente activo o numero de registro (I),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiappi,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Como fue aplicado? (I),"1, Aerosol | 2, Bomba | 3, Polvo | 4, Tiras | 5, Espuma | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiwhoappi,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Qui�n aplic� el producto?  (I) ,"1, Usted | 2, Exterminador Profesional | 3, Alguien m�s | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiippefreq,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,�Cu�n frecuente ha sido aplicado en los pasados seis meses? (I),"1, M�s de una vez al mes | 2, Una vez al mes o menos | 888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiippe,inhome_visit_2nd_part,USO DE PESTICIDAS,radio,Equipo Protectivo usados cuando se aplica (I),"1, Ninguno | 2, Guantes | 3, M�scara | 97, Otros (Especifique) |  888, Reh�sa | 999, No Sabe",,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
pestiippe97,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Especifique Equipo Protectivo (I),,,,,,,[pestiuse]<>5,,,,,,,Human Subject Data
svendtime,inhome_visit_2nd_part,USO DE PESTICIDAS,text,Hora al final de la entrevista,,Hora militar (hh:mm) (1:00pm = 13:00),time,12:01:00 AM,11:59:00 PM,,,,,,,,,Human Subject Data
gpdate,geographical_coordinates,Unlabelled,text,Date:,,MM-DD-YYYY,date_mdy,,,,,,,,,,,Human Subject Data
gpinterviewer,geographical_coordinates,Unlabelled,radio,Data Recorder:,"1, Camille Rivera | 2, Liza Anzalota | 3, Janisse Cabrera | 4, Abigail Figueroa | 5, Another Interviwer",,,,,,,,,,,,,Human Subject Data
gpotherinterviwer,geographical_coordinates,Unlabelled,text,Name of Recorder?,,35 Characters,,,,,[gpinterviewer]='5',,,,,,,Human Subject Data
gpstreet,geographical_coordinates,ADDRESS,text,Street,,,,,,,,,,,,,,Human Subject Data
gpbuildingapt,geographical_coordinates,ADDRESS,text,Building and Apt,,,,,,,,,,,,,,Human Subject Data
gpcityst,geographical_coordinates,ADDRESS,text,City and State,,,,,,,,,,,,,,Human Subject Data
gpzipcode,geographical_coordinates,ADDRESS,text,Zip Code,,,,,,,,,,,,,,Human Subject Data
gplocation,geographical_coordinates,ADDRESS,text,Location,,,,,,,,,,,,,,Human Subject Data
visit_location,geographical_coordinates,ADDRESS,radio,Where the visit was realized?,"1, In home|2,Prenatal Clinic|3, Refused",,,,,,,,,,,,,Human Subject Data
reason_refuse,geographical_coordinates,ADDRESS,text,reason ,,,,,,,[visit_location]='3',,,,,,,Human Subject Data
water_sample,geographical_coordinates,ADDRESS,radio,When was the water sample taken?,"1, Collected during in home visit|2, Collected at another time|3, Pending|4, Not Taken",,,,,,,,,,,,,Human Subject Data
water_date,geographical_coordinates,ADDRESS,text,date of collection,,,date_mdy,,,,[water_sample]='2',,,,,,,Human Subject Data
gplatitude,geographical_coordinates,ADDRESS,text,Latitude,,,,,,,,,,,,,,Human Subject Data
gplongitude,geographical_coordinates,ADDRESS,text,Longitude,,,,,,,,,,,,,,Human Subject Data
gpheight,geographical_coordinates,ADDRESS,text,Altitude,,,,,,,,,,,,,,Human Subject Data
gplatitude_rcm,geographical_coordinates,ADDRESS,text,Latitude RCM,,,,,,,,,,,,,,Human Subject Data
gplongitude_rcm,geographical_coordinates,ADDRESS,text,Longitude RCM,,,,,,,,,,,,,,Human Subject Data
